t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
0.10050251,zeta0p1,0.9949875,0.0,-0.30564922,0.0
0.30150753,zeta0p1,-0.09933175,-0.009146269,0.22761424,0.03052123
0.5025126,zeta0p1,0.9557817,0.009611469,-0.255034,0.01968067
0.7035176,zeta0p1,-0.28818402,-0.006750345,0.2739977,0.047721796
0.9045226,zeta0p1,0.8803975,0.008692014,-0.19634753,0.033528466
1.1055276,zeta0p1,-0.45822063,-0.023880899,0.30773902,0.072560474
1.3065326,zeta0p1,0.7732358,-0.024435027,-0.13222378,0.067043476
1.5075377,zeta0p1,-0.6034718,-0.06609234,0.32800484,0.10642557
1.7085427,zeta0p1,0.63977814,-0.075435035,-0.06540829,0.10217728
1.9095477,zeta0p1,-0.71918154,-0.12311043,0.3345262,0.13983849
2.1105528,zeta0p1,0.4863281,-0.13957202,0.0013562344,0.13641888
2.3115578,zeta0p1,-0.80194676,-0.190139,0.32758728,0.17044644
2.5125628,zeta0p1,0.31972992,-0.21178775,0.06543614,0.1674162
2.7135677,zeta0p1,-0.8497991,-0.26218918,0.30799246,0.19610167
2.914573,zeta0p1,0.14707693,-0.28691098,0.124408625,0.19304372
3.115578,zeta0p1,-0.8622256,-0.33422163,0.27701366,0.2149259
3.316583,zeta0p1,-0.024577683,-0.3598085,0.17614685,0.21146837
3.517588,zeta0p1,-0.84013164,-0.40125674,0.23632246,0.22538982
3.718593,zeta0p1,-0.18849836,-0.42549482,0.21889426,0.2212345
3.919598,zeta0p1,-0.78574955,-0.45848042,0.18790732,0.22641622
4.120603,zeta0p1,-0.33852035,-0.47923315,0.25131792,0.22137153
4.321608,zeta0p1,-0.7024979,-0.50137985,0.1339835,0.21749628
4.522613,zeta0p1,-0.46926987,-0.51667523,0.2725449,0.21150944
4.723618,zeta0p1,-0.5948002,-0.5259529,0.07689615,0.19879128
4.924623,zeta0p1,-0.576346,-0.53408957,0.2821785,0.19197181
5.125628,zeta0p1,-0.46787032,-0.52902114,0.019023256,0.1711824
5.326633,zeta0p1,-0.6564555,-0.5287054,0.28029528,0.16380785
5.527638,zeta0p1,-0.3274758,-0.5086392,-0.037319947,0.13623531
5.7286434,zeta0p1,-0.7074991,-0.49915,0.2674234,0.12873112
