t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
6.9346733,zeta0p3,-0.36340344,-0.17519778,0.017849501,0.00911879
7.1356783,zeta0p3,0.077484734,-0.14319028,-0.006580077,0.00092606805
7.3366833,zeta0p3,-0.3417984,-0.12765932,0.016266523,0.008514432
7.5376883,zeta0p3,0.13559197,-0.09480363,-0.009067416,3.3122487e-05
7.738693,zeta0p3,-0.30968228,-0.07984477,0.01424635,0.008138732
7.9396987,zeta0p3,0.18195386,-0.047785215,-0.010928194,-0.00033881702
8.140703,zeta0p3,-0.26946762,-0.03415162,0.01191528,0.007855795
8.341708,zeta0p3,0.21614622,-0.0042313654,-0.012163015,-0.0003592195
8.542713,zeta0p3,-0.22359997,0.0075249607,0.009397055,0.007544427
8.743718,zeta0p3,0.23825458,0.034280173,-0.012796154,-0.00018316228
8.944724,zeta0p3,-0.17446153,0.043805845,0.006808467,0.007110904
9.145729,zeta0p3,0.24881323,0.066674896,-0.012871952,6.051548e-05
9.346734,zeta0p3,-0.12428799,0.07379659,0.0042557186,0.006494912
9.547739,zeta0p3,0.24873382,0.09233536,-0.012450858,0.00027447194
9.748744,zeta0p3,-0.07510005,0.09703305,0.0018315563,0.005669993
9.949749,zeta0p3,0.23922801,0.11104068,-0.011605295,0.00039341813
10.150754,zeta0p3,-0.028651826,0.11341754,-0.00038665388,0.004639792
10.351759,zeta0p3,0.22172737,0.122902066,-0.0104155755,0.00038112933
10.552764,zeta0p3,0.013606138,0.12315535,-0.0023381815,0.0034322033
10.753769,zeta0p3,0.1978041,0.1283007,-0.008965921,0.0002258122
10.954774,zeta0p3,0.050546777,0.12669519,-0.003979292,0.0020926038
11.155779,zeta0p3,0.16909544,0.12782983,-0.0073408554,-6.523193e-05
11.356784,zeta0p3,0.081373125,0.12467459,-0.0052830037,0.00067713496
11.557789,zeta0p3,0.13723394,0.12224137,-0.005621951,-0.00047087646
11.758794,zeta0p3,0.1056103,0.11786984,-0.00623819,-0.00075329357
11.959799,zeta0p3,0.10378665,0.11239633,-0.0038850773,-0.0009609388
12.160804,zeta0p3,0.123087585,0.10714958,-0.006848215,-0.002138059
12.361809,zeta0p3,0.07020242,0.09921914,-0.00219816,-0.001500262
12.562814,zeta0p3,0.13391005,0.09343173,-0.007129153,-0.0034207776
12.763819,zeta0p3,0.037770737,0.08365557,-0.00061951013,-0.0020520824
12.964824,zeta0p3,0.13842319,0.07764392,-0.0071077356,-0.004552246
13.165829,zeta0p3,0.0075910185,0.06663492,0.000803265,-0.002580744
13.366835,zeta0p3,0.13717265,0.060687777,-0.0068191276,-0.005492499
13.56784,zeta0p3,-0.019447787,0.049970068,0.0020339359,-0.0039093276
13.768845,zeta0p3,0.13086075,0.04520811,-0.0063046347,-0.007544725
13.96985,zeta0p3,-0.042676866,0.034354992,0.003047625,-0.00539516
14.170855,zeta0p3,0.12030192,0.030035745,-0.005609437,-0.008909109
14.37186,zeta0p3,-0.061647926,0.01940964,0.0038305372,-0.0063644694
14.572865,zeta0p3,0.10637921,0.015589854,-0.0047804406,-0.009662785
14.7738695,zeta0p3,-0.07612506,0.004488037,0.0043791896,-0.005947899
14.9748745,zeta0p3,0.09000295,0.00025638798,-0.00386428,-0.008428989
15.1758795,zeta0p3,-0.086069696,-0.009821305,0.004699393,-0.005022134
15.376884,zeta0p3,0.07207314,-0.013243259,-0.0029056317,-0.0074514197
15.577889,zeta0p3,-0.09161952,-0.021952666,0.0048049474,-0.004382643
15.778894,zeta0p3,0.05344633,-0.024454903,-0.0019456717,-0.0066159717
15.979899,zeta0p3,-0.09306333,-0.03155489,0.0047162413,-0.0039114077
16.180904,zeta0p3,0.03490852,-0.033088163,-0.001020973,-0.0058400664
16.38191,zeta0p3,-0.09081287,-0.0384394,0.004458708,-0.0035199856
16.582914,zeta0p3,0.017152492,-0.039010715,-0.00016260182,-0.005069371
16.78392,zeta0p3,-0.085373186,-0.042569336,0.004061298,-0.0031466952
16.984924,zeta0p3,0.0007632501,-0.04223446,0.0006044121,-0.004273885
17.18593,zeta0p3,-0.07731304,-0.044041906,0.00355498,-0.0027530598
17.386934,zeta0p3,-0.013792922,-0.04289597,0.0012613573,-0.0034433843
17.58794,zeta0p3,-0.067235865,-0.043065876,0.0029713307,-0.0023197853
17.788944,zeta0p3,-0.026172139,-0.041232925,0.0017958123,-0.0025828178
17.98995,zeta0p3,-0.055753037,-0.03993628,0.0023412826,-0.0018426052
18.190954,zeta0p3,-0.036152042,-0.037558686,0.002201428,-0.0017077408
18.39196,zeta0p3,-0.04345994,-0.035008237,0.0016939975,-0.0013281761
18.592964,zeta0p3,-0.0436267,-0.032236602,0.0024774466,-0.0008400677
18.79397,zeta0p3,-0.03091492,-0.028671486,0.0010560007,-0.0007902716
18.994974,zeta0p3,-0.048597217,-0.025655692,0.0026281301,-4.358415e-06
19.19598,zeta0p3,-0.018622454,-0.021327084,0.0004504234,-0.0002464396
19.396984,zeta0p3,-0.05115953,-0.01820877,0.002661998,0.0007752677
19.59799,zeta0p3,-0.00702016,-0.013367163,-0.000103432205,0.00028478005
19.798994,zeta0p3,-0.051490057,-0.010273934,0.0025910374,0.0014775145
20.0,zeta0p3,0.003530211,-0.005158457,-0.0005904423,0.0007860105
